

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,2,1000.00,2750.29,0.0045,0.000,49.000
,3,1000.00,2750.14,0.0039,34.648,34.648
,4,1000.00,2742.78,0.0045,49.000,0.000
,5,1000.00,2735.18,0.0042,34.648,-34.648
,6,1000.00,2733.25,0.0034,0.000,-49.000
,7,1000.00,2736.93,0.0051,-34.648,-34.648
,8,1000.00,2742.21,0.0049,-49.000,-0.000
,9,1000.00,2745.68,0.0045,-34.648,34.648
,10,1000.00,2816.25,0.0024,0.000,98.000
,11,1000.00,2821.65,0.0042,37.503,90.540
,12,1000.00,2819.40,0.0052,69.296,69.297
,13,1000.00,2810.81,0.0053,90.540,37.503
,14,1000.00,2799.30,0.0060,98.000,0.000
,15,1000.00,2788.70,0.0076,90.540,-37.503
,16,1000.00,2781.12,0.0059,69.297,-69.296
,17,1000.00,2776.92,0.0039,37.503,-90.540
,18,1000.00,2776.57,0.0032,0.000,-98.000
,19,1000.00,2779.35,0.0035,-37.503,-90.540
,20,1000.00,2784.70,0.0040,-69.296,-69.297
,21,1000.00,2791.76,0.0035,-90.540,-37.503
,22,1000.00,2797.38,0.0012,-98.000,-0.000
,23,1000.00,2794.56,0.0005,-90.540,37.503
,24,1000.00,2797.41,0.0006,-69.297,69.296
,25,1000.00,2801.25,0.0003,-37.503,90.540
,26,1000.00,2863.14,0.0016,0.000,147.000
,27,1000.00,2834.51,0.0041,38.046,141.991
,28,1000.00,2827.89,0.0055,73.500,127.306
,29,1000.00,2824.42,0.0055,103.945,103.945
,30,1000.00,2816.78,0.0049,127.306,73.500
,31,1000.00,2803.18,0.0046,141.991,38.047
,32,1000.00,2789.22,0.0047,147.000,0.000
,33,1000.00,2776.46,0.0043,141.991,-38.046
,34,1000.00,2769.82,0.0036,127.306,-73.500
,35,1000.00,2768.21,0.0033,103.945,-103.944
,36,1000.00,2767.03,0.0036,73.500,-127.306
,37,1000.00,2770.80,0.0041,38.047,-141.991
,38,1000.00,2769.50,0.0037,0.000,-147.000
,39,1000.00,2772.40,0.0033,-38.046,-141.991
,40,1000.00,2772.05,0.0031,-73.500,-127.306
,41,1000.00,2773.75,0.0033,-103.944,-103.945
,42,1000.00,2778.04,0.0034,-127.305,-73.500
,43,1000.00,2799.59,0.0017,-141.991,-38.047
,44,1000.00,2822.25,0.0004,-147.000,-0.001
,45,1000.00,2798.63,0.0003,-141.991,38.046
,46,1000.00,2802.76,0.0003,-127.306,73.499
,47,1000.00,2861.33,0.0003,-103.945,103.944
,48,1000.00,2782.29,0.0003,-73.501,127.305
,49,1000.00,2840.70,0.0006,-38.047,141.991

